input_dict,ground_truth,natural question,natural answer
"concept_1: scientific documents
concept_2: representation learning
edge_list: transformer model - Used-for - representation learning
MIReAD - Evaluate-for - representation learning
pretrained language models - Used-for - representation learning
relation_list: Compare
Part-of
Conjunction
Evaluate-for
Is-a-Prerequisite-of
Used-for
Hyponym-Of",Used-for,"Given the following edges constituting a concept subgraph, please identify and select the possible type of relationship between concept scientific documents and concept representation learning.

### Subgraph Edges
transformer model - Used-for - representation learning
MIReAD - Evaluate-for - representation learning
pretrained language models - Used-for - representation learning

### Relationships Types
Compare
Part-of
Conjunction
Evaluate-for
Is-a-Prerequisite-of
Used-for
Hyponym-Of",Used-for
"concept_1: cross lingual word embeddings
concept_2: bilingual lexicon induction
edge_list: cross lingual embeddings - Evaluate-for - bilingual lexicon induction
cross-lingual word embeddings - Evaluate-for - bilingual lexicon induction
unsupervised bilingual lexicon induction - Used-for - bilingual lexicon induction
relation_list: Compare
Part-of
Conjunction
Evaluate-for
Is-a-Prerequisite-of
Used-for
Hyponym-Of",Used-for,"Given the following edges constituting a concept subgraph, please identify and select the possible type of relationship between concept cross lingual word embeddings and concept bilingual lexicon induction.

### Subgraph Edges
cross lingual embeddings - Evaluate-for - bilingual lexicon induction
cross-lingual word embeddings - Evaluate-for - bilingual lexicon induction
unsupervised bilingual lexicon induction - Used-for - bilingual lexicon induction

### Relationships Types
Compare
Part-of
Conjunction
Evaluate-for
Is-a-Prerequisite-of
Used-for
Hyponym-Of",Used-for
"concept_1: story ending generation
concept_2: sentiment control
edge_list: story ending generation - Hyponym-Of - natural language generation
sentence generation - Is-a-Prerequisite-of - natural language generation
natural language generation - Conjunction - natural language understanding
relation_list: Compare
Part-of
Conjunction
Evaluate-for
Is-a-Prerequisite-of
Used-for
Hyponym-Of",Is-a-Prerequisite-of,"Given the following edges constituting a concept subgraph, please identify and select the possible type of relationship between concept story ending generation and concept sentiment control.

### Subgraph Edges
story ending generation - Hyponym-Of - natural language generation
sentence generation - Is-a-Prerequisite-of - natural language generation
natural language generation - Conjunction - natural language understanding

### Relationships Types
Compare
Part-of
Conjunction
Evaluate-for
Is-a-Prerequisite-of
Used-for
Hyponym-Of",Is-a-Prerequisite-of
"concept_1: text chunking
concept_2: preprocessing
edge_list: sentence segmentation - Conjunction - preprocessing
tools for dl - Is-a-Prerequisite-of - programming languages
tools for dl - Is-a-Prerequisite-of - python
programming languages - Is-a-Prerequisite-of - preprocessing
python - Is-a-Prerequisite-of - preprocessing
relation_list: Compare
Part-of
Conjunction
Evaluate-for
Is-a-Prerequisite-of
Used-for
Hyponym-Of",Conjunction,"Given the following edges constituting a concept subgraph, please identify and select the possible type of relationship between concept text chunking and concept preprocessing.

### Subgraph Edges
sentence segmentation - Conjunction - preprocessing
tools for dl - Is-a-Prerequisite-of - programming languages
tools for dl - Is-a-Prerequisite-of - python
programming languages - Is-a-Prerequisite-of - preprocessing
python - Is-a-Prerequisite-of - preprocessing

### Relationships Types
Compare
Part-of
Conjunction
Evaluate-for
Is-a-Prerequisite-of
Used-for
Hyponym-Of",Conjunction
"concept_1: unsupervised bilingual lexicon induction
concept_2: bilingual lexicon induction
edge_list: cross lingual word embeddings - Used-for - bilingual lexicon induction
cross lingual embeddings - Evaluate-for - bilingual lexicon induction
cross-lingual word embeddings - Evaluate-for - bilingual lexicon induction
relation_list: Compare
Part-of
Conjunction
Evaluate-for
Is-a-Prerequisite-of
Used-for
Hyponym-Of",Used-for,"Given the following edges constituting a concept subgraph, please identify and select the possible type of relationship between concept unsupervised bilingual lexicon induction and concept bilingual lexicon induction.

### Subgraph Edges
cross lingual word embeddings - Used-for - bilingual lexicon induction
cross lingual embeddings - Evaluate-for - bilingual lexicon induction
cross-lingual word embeddings - Evaluate-for - bilingual lexicon induction

### Relationships Types
Compare
Part-of
Conjunction
Evaluate-for
Is-a-Prerequisite-of
Used-for
Hyponym-Of",Used-for
"concept_1: MIReAD
concept_2: representation learning
edge_list: transformer model - Used-for - representation learning
scientific documents - Used-for - representation learning
pretrained language models - Used-for - representation learning
relation_list: Compare
Part-of
Conjunction
Evaluate-for
Is-a-Prerequisite-of
Used-for
Hyponym-Of",Evaluate-for,"Given the following edges constituting a concept subgraph, please identify and select the possible type of relationship between concept MIReAD and concept representation learning.

### Subgraph Edges
transformer model - Used-for - representation learning
scientific documents - Used-for - representation learning
pretrained language models - Used-for - representation learning

### Relationships Types
Compare
Part-of
Conjunction
Evaluate-for
Is-a-Prerequisite-of
Used-for
Hyponym-Of",Evaluate-for
"concept_1: cross-lingual word embeddings
concept_2: bilingual lexicon induction
edge_list: cross lingual word embeddings - Used-for - bilingual lexicon induction
cross lingual embeddings - Evaluate-for - bilingual lexicon induction
unsupervised bilingual lexicon induction - Used-for - bilingual lexicon induction
relation_list: Compare
Part-of
Conjunction
Evaluate-for
Is-a-Prerequisite-of
Used-for
Hyponym-Of",Evaluate-for,"Given the following edges constituting a concept subgraph, please identify and select the possible type of relationship between concept cross-lingual word embeddings and concept bilingual lexicon induction.

### Subgraph Edges
cross lingual word embeddings - Used-for - bilingual lexicon induction
cross lingual embeddings - Evaluate-for - bilingual lexicon induction
unsupervised bilingual lexicon induction - Used-for - bilingual lexicon induction

### Relationships Types
Compare
Part-of
Conjunction
Evaluate-for
Is-a-Prerequisite-of
Used-for
Hyponym-Of",Evaluate-for
"concept_1: programming languages
concept_2: preprocessing
edge_list: sentence segmentation - Conjunction - preprocessing
tools for dl - Is-a-Prerequisite-of - programming languages
tools for dl - Is-a-Prerequisite-of - python
text chunking - Conjunction - preprocessing
python - Is-a-Prerequisite-of - preprocessing
relation_list: Compare
Part-of
Conjunction
Evaluate-for
Is-a-Prerequisite-of
Used-for
Hyponym-Of",Is-a-Prerequisite-of,"Given the following edges constituting a concept subgraph, please identify and select the possible type of relationship between concept programming languages and concept preprocessing.

### Subgraph Edges
sentence segmentation - Conjunction - preprocessing
tools for dl - Is-a-Prerequisite-of - programming languages
tools for dl - Is-a-Prerequisite-of - python
text chunking - Conjunction - preprocessing
python - Is-a-Prerequisite-of - preprocessing

### Relationships Types
Compare
Part-of
Conjunction
Evaluate-for
Is-a-Prerequisite-of
Used-for
Hyponym-Of",Is-a-Prerequisite-of
"concept_1: cross lingual word embeddings
concept_2: bilingual lexicon induction
edge_list: cross lingual embeddings - Evaluate-for - bilingual lexicon induction
cross-lingual word embeddings - Evaluate-for - bilingual lexicon induction
unsupervised bilingual lexicon induction - Used-for - bilingual lexicon induction
relation_list: Compare
Part-of
Conjunction
Evaluate-for
Is-a-Prerequisite-of
Used-for
Hyponym-Of",Used-for,"Given the following edges constituting a concept subgraph, please identify and select the possible type of relationship between concept cross lingual word embeddings and concept bilingual lexicon induction.

### Subgraph Edges
cross lingual embeddings - Evaluate-for - bilingual lexicon induction
cross-lingual word embeddings - Evaluate-for - bilingual lexicon induction
unsupervised bilingual lexicon induction - Used-for - bilingual lexicon induction

### Relationships Types
Compare
Part-of
Conjunction
Evaluate-for
Is-a-Prerequisite-of
Used-for
Hyponym-Of",Used-for
"concept_1: scientific documents
concept_2: representation learning
edge_list: transformer model - Used-for - representation learning
MIReAD - Evaluate-for - representation learning
pretrained language models - Used-for - representation learning
relation_list: Compare
Part-of
Conjunction
Evaluate-for
Is-a-Prerequisite-of
Used-for
Hyponym-Of",Used-for,"Given the following edges constituting a concept subgraph, please identify and select the possible type of relationship between concept scientific documents and concept representation learning.

### Subgraph Edges
transformer model - Used-for - representation learning
MIReAD - Evaluate-for - representation learning
pretrained language models - Used-for - representation learning

### Relationships Types
Compare
Part-of
Conjunction
Evaluate-for
Is-a-Prerequisite-of
Used-for
Hyponym-Of",Used-for
"concept_1: sentence generation
concept_2: natural language generation
edge_list: story ending generation - Hyponym-Of - natural language generation
story ending generation - Is-a-Prerequisite-of - sentiment control
natural language generation - Conjunction - natural language understanding
relation_list: Compare
Part-of
Conjunction
Evaluate-for
Is-a-Prerequisite-of
Used-for
Hyponym-Of",Is-a-Prerequisite-of,"Given the following edges constituting a concept subgraph, please identify and select the possible type of relationship between concept sentence generation and concept natural language generation.

### Subgraph Edges
story ending generation - Hyponym-Of - natural language generation
story ending generation - Is-a-Prerequisite-of - sentiment control
natural language generation - Conjunction - natural language understanding

### Relationships Types
Compare
Part-of
Conjunction
Evaluate-for
Is-a-Prerequisite-of
Used-for
Hyponym-Of",Is-a-Prerequisite-of
"concept_1: cross lingual embeddings
concept_2: bilingual lexicon induction
edge_list: cross lingual word embeddings - Used-for - bilingual lexicon induction
cross-lingual word embeddings - Evaluate-for - bilingual lexicon induction
unsupervised bilingual lexicon induction - Used-for - bilingual lexicon induction
relation_list: Compare
Part-of
Conjunction
Evaluate-for
Is-a-Prerequisite-of
Used-for
Hyponym-Of",Evaluate-for,"Given the following edges constituting a concept subgraph, please identify and select the possible type of relationship between concept cross lingual embeddings and concept bilingual lexicon induction.

### Subgraph Edges
cross lingual word embeddings - Used-for - bilingual lexicon induction
cross-lingual word embeddings - Evaluate-for - bilingual lexicon induction
unsupervised bilingual lexicon induction - Used-for - bilingual lexicon induction

### Relationships Types
Compare
Part-of
Conjunction
Evaluate-for
Is-a-Prerequisite-of
Used-for
Hyponym-Of",Evaluate-for
"concept_1: pretrained language models
concept_2: representation learning
edge_list: transformer model - Used-for - representation learning
MIReAD - Evaluate-for - representation learning
scientific documents - Used-for - representation learning
relation_list: Compare
Part-of
Conjunction
Evaluate-for
Is-a-Prerequisite-of
Used-for
Hyponym-Of",Used-for,"Given the following edges constituting a concept subgraph, please identify and select the possible type of relationship between concept pretrained language models and concept representation learning.

### Subgraph Edges
transformer model - Used-for - representation learning
MIReAD - Evaluate-for - representation learning
scientific documents - Used-for - representation learning

### Relationships Types
Compare
Part-of
Conjunction
Evaluate-for
Is-a-Prerequisite-of
Used-for
Hyponym-Of",Used-for
"concept_1: text chunking
concept_2: preprocessing
edge_list: sentence segmentation - Conjunction - preprocessing
tools for dl - Is-a-Prerequisite-of - programming languages
tools for dl - Is-a-Prerequisite-of - python
programming languages - Is-a-Prerequisite-of - preprocessing
python - Is-a-Prerequisite-of - preprocessing
relation_list: Compare
Part-of
Conjunction
Evaluate-for
Is-a-Prerequisite-of
Used-for
Hyponym-Of",Conjunction,"Given the following edges constituting a concept subgraph, please identify and select the possible type of relationship between concept text chunking and concept preprocessing.

### Subgraph Edges
sentence segmentation - Conjunction - preprocessing
tools for dl - Is-a-Prerequisite-of - programming languages
tools for dl - Is-a-Prerequisite-of - python
programming languages - Is-a-Prerequisite-of - preprocessing
python - Is-a-Prerequisite-of - preprocessing

### Relationships Types
Compare
Part-of
Conjunction
Evaluate-for
Is-a-Prerequisite-of
Used-for
Hyponym-Of",Conjunction
"concept_1: natural language generation
concept_2: natural language understanding
edge_list: story ending generation - Hyponym-Of - natural language generation
story ending generation - Is-a-Prerequisite-of - sentiment control
sentence generation - Is-a-Prerequisite-of - natural language generation
relation_list: Compare
Part-of
Conjunction
Evaluate-for
Is-a-Prerequisite-of
Used-for
Hyponym-Of",Conjunction,"Given the following edges constituting a concept subgraph, please identify and select the possible type of relationship between concept natural language generation and concept natural language understanding.

### Subgraph Edges
story ending generation - Hyponym-Of - natural language generation
story ending generation - Is-a-Prerequisite-of - sentiment control
sentence generation - Is-a-Prerequisite-of - natural language generation

### Relationships Types
Compare
Part-of
Conjunction
Evaluate-for
Is-a-Prerequisite-of
Used-for
Hyponym-Of",Conjunction
"concept_1: sentence generation
concept_2: natural language generation
edge_list: story ending generation - Hyponym-Of - natural language generation
story ending generation - Is-a-Prerequisite-of - sentiment control
natural language generation - Conjunction - natural language understanding
relation_list: Compare
Part-of
Conjunction
Evaluate-for
Is-a-Prerequisite-of
Used-for
Hyponym-Of",Is-a-Prerequisite-of,"Given the following edges constituting a concept subgraph, please identify and select the possible type of relationship between concept sentence generation and concept natural language generation.

### Subgraph Edges
story ending generation - Hyponym-Of - natural language generation
story ending generation - Is-a-Prerequisite-of - sentiment control
natural language generation - Conjunction - natural language understanding

### Relationships Types
Compare
Part-of
Conjunction
Evaluate-for
Is-a-Prerequisite-of
Used-for
Hyponym-Of",Is-a-Prerequisite-of
"concept_1: scientific documents
concept_2: representation learning
edge_list: transformer model - Used-for - representation learning
MIReAD - Evaluate-for - representation learning
pretrained language models - Used-for - representation learning
relation_list: Compare
Part-of
Conjunction
Evaluate-for
Is-a-Prerequisite-of
Used-for
Hyponym-Of",Used-for,"Given the following edges constituting a concept subgraph, please identify and select the possible type of relationship between concept scientific documents and concept representation learning.

### Subgraph Edges
transformer model - Used-for - representation learning
MIReAD - Evaluate-for - representation learning
pretrained language models - Used-for - representation learning

### Relationships Types
Compare
Part-of
Conjunction
Evaluate-for
Is-a-Prerequisite-of
Used-for
Hyponym-Of",Used-for
"concept_1: story ending generation
concept_2: sentiment control
edge_list: story ending generation - Hyponym-Of - natural language generation
sentence generation - Is-a-Prerequisite-of - natural language generation
natural language generation - Conjunction - natural language understanding
relation_list: Compare
Part-of
Conjunction
Evaluate-for
Is-a-Prerequisite-of
Used-for
Hyponym-Of",Is-a-Prerequisite-of,"Given the following edges constituting a concept subgraph, please identify and select the possible type of relationship between concept story ending generation and concept sentiment control.

### Subgraph Edges
story ending generation - Hyponym-Of - natural language generation
sentence generation - Is-a-Prerequisite-of - natural language generation
natural language generation - Conjunction - natural language understanding

### Relationships Types
Compare
Part-of
Conjunction
Evaluate-for
Is-a-Prerequisite-of
Used-for
Hyponym-Of",Is-a-Prerequisite-of
"concept_1: tools for dl
concept_2: python
edge_list: sentence segmentation - Conjunction - preprocessing
tools for dl - Is-a-Prerequisite-of - programming languages
text chunking - Conjunction - preprocessing
programming languages - Is-a-Prerequisite-of - preprocessing
python - Is-a-Prerequisite-of - preprocessing
relation_list: Compare
Part-of
Conjunction
Evaluate-for
Is-a-Prerequisite-of
Used-for
Hyponym-Of",Is-a-Prerequisite-of,"Given the following edges constituting a concept subgraph, please identify and select the possible type of relationship between concept tools for dl and concept python.

### Subgraph Edges
sentence segmentation - Conjunction - preprocessing
tools for dl - Is-a-Prerequisite-of - programming languages
text chunking - Conjunction - preprocessing
programming languages - Is-a-Prerequisite-of - preprocessing
python - Is-a-Prerequisite-of - preprocessing

### Relationships Types
Compare
Part-of
Conjunction
Evaluate-for
Is-a-Prerequisite-of
Used-for
Hyponym-Of",Is-a-Prerequisite-of
"concept_1: sentence segmentation
concept_2: preprocessing
edge_list: tools for dl - Is-a-Prerequisite-of - programming languages
tools for dl - Is-a-Prerequisite-of - python
text chunking - Conjunction - preprocessing
programming languages - Is-a-Prerequisite-of - preprocessing
python - Is-a-Prerequisite-of - preprocessing
relation_list: Compare
Part-of
Conjunction
Evaluate-for
Is-a-Prerequisite-of
Used-for
Hyponym-Of",Conjunction,"Given the following edges constituting a concept subgraph, please identify and select the possible type of relationship between concept sentence segmentation and concept preprocessing.

### Subgraph Edges
tools for dl - Is-a-Prerequisite-of - programming languages
tools for dl - Is-a-Prerequisite-of - python
text chunking - Conjunction - preprocessing
programming languages - Is-a-Prerequisite-of - preprocessing
python - Is-a-Prerequisite-of - preprocessing

### Relationships Types
Compare
Part-of
Conjunction
Evaluate-for
Is-a-Prerequisite-of
Used-for
Hyponym-Of",Conjunction
"concept_1: MIReAD
concept_2: representation learning
edge_list: transformer model - Used-for - representation learning
scientific documents - Used-for - representation learning
pretrained language models - Used-for - representation learning
relation_list: Compare
Part-of
Conjunction
Evaluate-for
Is-a-Prerequisite-of
Used-for
Hyponym-Of",Evaluate-for,"Given the following edges constituting a concept subgraph, please identify and select the possible type of relationship between concept MIReAD and concept representation learning.

### Subgraph Edges
transformer model - Used-for - representation learning
scientific documents - Used-for - representation learning
pretrained language models - Used-for - representation learning

### Relationships Types
Compare
Part-of
Conjunction
Evaluate-for
Is-a-Prerequisite-of
Used-for
Hyponym-Of",Evaluate-for
"concept_1: unsupervised bilingual lexicon induction
concept_2: bilingual lexicon induction
edge_list: cross lingual word embeddings - Used-for - bilingual lexicon induction
cross lingual embeddings - Evaluate-for - bilingual lexicon induction
cross-lingual word embeddings - Evaluate-for - bilingual lexicon induction
relation_list: Compare
Part-of
Conjunction
Evaluate-for
Is-a-Prerequisite-of
Used-for
Hyponym-Of",Used-for,"Given the following edges constituting a concept subgraph, please identify and select the possible type of relationship between concept unsupervised bilingual lexicon induction and concept bilingual lexicon induction.

### Subgraph Edges
cross lingual word embeddings - Used-for - bilingual lexicon induction
cross lingual embeddings - Evaluate-for - bilingual lexicon induction
cross-lingual word embeddings - Evaluate-for - bilingual lexicon induction

### Relationships Types
Compare
Part-of
Conjunction
Evaluate-for
Is-a-Prerequisite-of
Used-for
Hyponym-Of",Used-for
"concept_1: natural language generation
concept_2: natural language understanding
edge_list: story ending generation - Hyponym-Of - natural language generation
story ending generation - Is-a-Prerequisite-of - sentiment control
sentence generation - Is-a-Prerequisite-of - natural language generation
relation_list: Compare
Part-of
Conjunction
Evaluate-for
Is-a-Prerequisite-of
Used-for
Hyponym-Of",Conjunction,"Given the following edges constituting a concept subgraph, please identify and select the possible type of relationship between concept natural language generation and concept natural language understanding.

### Subgraph Edges
story ending generation - Hyponym-Of - natural language generation
story ending generation - Is-a-Prerequisite-of - sentiment control
sentence generation - Is-a-Prerequisite-of - natural language generation

### Relationships Types
Compare
Part-of
Conjunction
Evaluate-for
Is-a-Prerequisite-of
Used-for
Hyponym-Of",Conjunction
"concept_1: cross lingual embeddings
concept_2: bilingual lexicon induction
edge_list: cross lingual word embeddings - Used-for - bilingual lexicon induction
cross-lingual word embeddings - Evaluate-for - bilingual lexicon induction
unsupervised bilingual lexicon induction - Used-for - bilingual lexicon induction
relation_list: Compare
Part-of
Conjunction
Evaluate-for
Is-a-Prerequisite-of
Used-for
Hyponym-Of",Evaluate-for,"Given the following edges constituting a concept subgraph, please identify and select the possible type of relationship between concept cross lingual embeddings and concept bilingual lexicon induction.

### Subgraph Edges
cross lingual word embeddings - Used-for - bilingual lexicon induction
cross-lingual word embeddings - Evaluate-for - bilingual lexicon induction
unsupervised bilingual lexicon induction - Used-for - bilingual lexicon induction

### Relationships Types
Compare
Part-of
Conjunction
Evaluate-for
Is-a-Prerequisite-of
Used-for
Hyponym-Of",Evaluate-for
"concept_1: pretrained language models
concept_2: representation learning
edge_list: transformer model - Used-for - representation learning
MIReAD - Evaluate-for - representation learning
scientific documents - Used-for - representation learning
relation_list: Compare
Part-of
Conjunction
Evaluate-for
Is-a-Prerequisite-of
Used-for
Hyponym-Of",Used-for,"Given the following edges constituting a concept subgraph, please identify and select the possible type of relationship between concept pretrained language models and concept representation learning.

### Subgraph Edges
transformer model - Used-for - representation learning
MIReAD - Evaluate-for - representation learning
scientific documents - Used-for - representation learning

### Relationships Types
Compare
Part-of
Conjunction
Evaluate-for
Is-a-Prerequisite-of
Used-for
Hyponym-Of",Used-for
"concept_1: cross lingual word embeddings
concept_2: bilingual lexicon induction
edge_list: cross lingual embeddings - Evaluate-for - bilingual lexicon induction
cross-lingual word embeddings - Evaluate-for - bilingual lexicon induction
unsupervised bilingual lexicon induction - Used-for - bilingual lexicon induction
relation_list: Compare
Part-of
Conjunction
Evaluate-for
Is-a-Prerequisite-of
Used-for
Hyponym-Of",Used-for,"Given the following edges constituting a concept subgraph, please identify and select the possible type of relationship between concept cross lingual word embeddings and concept bilingual lexicon induction.

### Subgraph Edges
cross lingual embeddings - Evaluate-for - bilingual lexicon induction
cross-lingual word embeddings - Evaluate-for - bilingual lexicon induction
unsupervised bilingual lexicon induction - Used-for - bilingual lexicon induction

### Relationships Types
Compare
Part-of
Conjunction
Evaluate-for
Is-a-Prerequisite-of
Used-for
Hyponym-Of",Used-for
"concept_1: story ending generation
concept_2: sentiment control
edge_list: story ending generation - Hyponym-Of - natural language generation
sentence generation - Is-a-Prerequisite-of - natural language generation
natural language generation - Conjunction - natural language understanding
relation_list: Compare
Part-of
Conjunction
Evaluate-for
Is-a-Prerequisite-of
Used-for
Hyponym-Of",Is-a-Prerequisite-of,"Given the following edges constituting a concept subgraph, please identify and select the possible type of relationship between concept story ending generation and concept sentiment control.

### Subgraph Edges
story ending generation - Hyponym-Of - natural language generation
sentence generation - Is-a-Prerequisite-of - natural language generation
natural language generation - Conjunction - natural language understanding

### Relationships Types
Compare
Part-of
Conjunction
Evaluate-for
Is-a-Prerequisite-of
Used-for
Hyponym-Of",Is-a-Prerequisite-of
"concept_1: sentence segmentation
concept_2: preprocessing
edge_list: tools for dl - Is-a-Prerequisite-of - programming languages
tools for dl - Is-a-Prerequisite-of - python
text chunking - Conjunction - preprocessing
programming languages - Is-a-Prerequisite-of - preprocessing
python - Is-a-Prerequisite-of - preprocessing
relation_list: Compare
Part-of
Conjunction
Evaluate-for
Is-a-Prerequisite-of
Used-for
Hyponym-Of",Conjunction,"Given the following edges constituting a concept subgraph, please identify and select the possible type of relationship between concept sentence segmentation and concept preprocessing.

### Subgraph Edges
tools for dl - Is-a-Prerequisite-of - programming languages
tools for dl - Is-a-Prerequisite-of - python
text chunking - Conjunction - preprocessing
programming languages - Is-a-Prerequisite-of - preprocessing
python - Is-a-Prerequisite-of - preprocessing

### Relationships Types
Compare
Part-of
Conjunction
Evaluate-for
Is-a-Prerequisite-of
Used-for
Hyponym-Of",Conjunction
"concept_1: MIReAD
concept_2: representation learning
edge_list: transformer model - Used-for - representation learning
scientific documents - Used-for - representation learning
pretrained language models - Used-for - representation learning
relation_list: Compare
Part-of
Conjunction
Evaluate-for
Is-a-Prerequisite-of
Used-for
Hyponym-Of",Evaluate-for,"Given the following edges constituting a concept subgraph, please identify and select the possible type of relationship between concept MIReAD and concept representation learning.

### Subgraph Edges
transformer model - Used-for - representation learning
scientific documents - Used-for - representation learning
pretrained language models - Used-for - representation learning

### Relationships Types
Compare
Part-of
Conjunction
Evaluate-for
Is-a-Prerequisite-of
Used-for
Hyponym-Of",Evaluate-for
"concept_1: natural language generation
concept_2: natural language understanding
edge_list: story ending generation - Hyponym-Of - natural language generation
story ending generation - Is-a-Prerequisite-of - sentiment control
sentence generation - Is-a-Prerequisite-of - natural language generation
relation_list: Compare
Part-of
Conjunction
Evaluate-for
Is-a-Prerequisite-of
Used-for
Hyponym-Of",Conjunction,"Given the following edges constituting a concept subgraph, please identify and select the possible type of relationship between concept natural language generation and concept natural language understanding.

### Subgraph Edges
story ending generation - Hyponym-Of - natural language generation
story ending generation - Is-a-Prerequisite-of - sentiment control
sentence generation - Is-a-Prerequisite-of - natural language generation

### Relationships Types
Compare
Part-of
Conjunction
Evaluate-for
Is-a-Prerequisite-of
Used-for
Hyponym-Of",Conjunction
"concept_1: pretrained language models
concept_2: representation learning
edge_list: transformer model - Used-for - representation learning
MIReAD - Evaluate-for - representation learning
scientific documents - Used-for - representation learning
relation_list: Compare
Part-of
Conjunction
Evaluate-for
Is-a-Prerequisite-of
Used-for
Hyponym-Of",Used-for,"Given the following edges constituting a concept subgraph, please identify and select the possible type of relationship between concept pretrained language models and concept representation learning.

### Subgraph Edges
transformer model - Used-for - representation learning
MIReAD - Evaluate-for - representation learning
scientific documents - Used-for - representation learning

### Relationships Types
Compare
Part-of
Conjunction
Evaluate-for
Is-a-Prerequisite-of
Used-for
Hyponym-Of",Used-for
"concept_1: story ending generation
concept_2: sentiment control
edge_list: story ending generation - Hyponym-Of - natural language generation
sentence generation - Is-a-Prerequisite-of - natural language generation
natural language generation - Conjunction - natural language understanding
relation_list: Compare
Part-of
Conjunction
Evaluate-for
Is-a-Prerequisite-of
Used-for
Hyponym-Of",Is-a-Prerequisite-of,"Given the following edges constituting a concept subgraph, please identify and select the possible type of relationship between concept story ending generation and concept sentiment control.

### Subgraph Edges
story ending generation - Hyponym-Of - natural language generation
sentence generation - Is-a-Prerequisite-of - natural language generation
natural language generation - Conjunction - natural language understanding

### Relationships Types
Compare
Part-of
Conjunction
Evaluate-for
Is-a-Prerequisite-of
Used-for
Hyponym-Of",Is-a-Prerequisite-of
"concept_1: python
concept_2: preprocessing
edge_list: sentence segmentation - Conjunction - preprocessing
tools for dl - Is-a-Prerequisite-of - programming languages
tools for dl - Is-a-Prerequisite-of - python
text chunking - Conjunction - preprocessing
programming languages - Is-a-Prerequisite-of - preprocessing
relation_list: Compare
Part-of
Conjunction
Evaluate-for
Is-a-Prerequisite-of
Used-for
Hyponym-Of",Is-a-Prerequisite-of,"Given the following edges constituting a concept subgraph, please identify and select the possible type of relationship between concept python and concept preprocessing.

### Subgraph Edges
sentence segmentation - Conjunction - preprocessing
tools for dl - Is-a-Prerequisite-of - programming languages
tools for dl - Is-a-Prerequisite-of - python
text chunking - Conjunction - preprocessing
programming languages - Is-a-Prerequisite-of - preprocessing

### Relationships Types
Compare
Part-of
Conjunction
Evaluate-for
Is-a-Prerequisite-of
Used-for
Hyponym-Of",Is-a-Prerequisite-of
"concept_1: programming languages
concept_2: preprocessing
edge_list: sentence segmentation - Conjunction - preprocessing
tools for dl - Is-a-Prerequisite-of - programming languages
tools for dl - Is-a-Prerequisite-of - python
text chunking - Conjunction - preprocessing
python - Is-a-Prerequisite-of - preprocessing
relation_list: Compare
Part-of
Conjunction
Evaluate-for
Is-a-Prerequisite-of
Used-for
Hyponym-Of",Is-a-Prerequisite-of,"Given the following edges constituting a concept subgraph, please identify and select the possible type of relationship between concept programming languages and concept preprocessing.

### Subgraph Edges
sentence segmentation - Conjunction - preprocessing
tools for dl - Is-a-Prerequisite-of - programming languages
tools for dl - Is-a-Prerequisite-of - python
text chunking - Conjunction - preprocessing
python - Is-a-Prerequisite-of - preprocessing

### Relationships Types
Compare
Part-of
Conjunction
Evaluate-for
Is-a-Prerequisite-of
Used-for
Hyponym-Of",Is-a-Prerequisite-of
"concept_1: story ending generation
concept_2: natural language generation
edge_list: story ending generation - Is-a-Prerequisite-of - sentiment control
sentence generation - Is-a-Prerequisite-of - natural language generation
natural language generation - Conjunction - natural language understanding
relation_list: Compare
Part-of
Conjunction
Evaluate-for
Is-a-Prerequisite-of
Used-for
Hyponym-Of",Hyponym-Of,"Given the following edges constituting a concept subgraph, please identify and select the possible type of relationship between concept story ending generation and concept natural language generation.

### Subgraph Edges
story ending generation - Is-a-Prerequisite-of - sentiment control
sentence generation - Is-a-Prerequisite-of - natural language generation
natural language generation - Conjunction - natural language understanding

### Relationships Types
Compare
Part-of
Conjunction
Evaluate-for
Is-a-Prerequisite-of
Used-for
Hyponym-Of",Hyponym-Of
"concept_1: unsupervised bilingual lexicon induction
concept_2: bilingual lexicon induction
edge_list: cross lingual word embeddings - Used-for - bilingual lexicon induction
cross lingual embeddings - Evaluate-for - bilingual lexicon induction
cross-lingual word embeddings - Evaluate-for - bilingual lexicon induction
relation_list: Compare
Part-of
Conjunction
Evaluate-for
Is-a-Prerequisite-of
Used-for
Hyponym-Of",Used-for,"Given the following edges constituting a concept subgraph, please identify and select the possible type of relationship between concept unsupervised bilingual lexicon induction and concept bilingual lexicon induction.

### Subgraph Edges
cross lingual word embeddings - Used-for - bilingual lexicon induction
cross lingual embeddings - Evaluate-for - bilingual lexicon induction
cross-lingual word embeddings - Evaluate-for - bilingual lexicon induction

### Relationships Types
Compare
Part-of
Conjunction
Evaluate-for
Is-a-Prerequisite-of
Used-for
Hyponym-Of",Used-for
